Denominazione;Indirizzo;CittÃ ;Provincia;CAP;Codice Fiscale;Tipo
'' MANI DI FORBICE '' - ONLUS;PIAZZA MATTEOCCI N 1;RIETI;RIETI;2100;90061200573;A
MIRANDOLA - LIBERA ASSOCIAZIONE CIVICA APS;VIA DANTE ALIGHIERI 19;MIRANDOLA;MODENA;41037;90045610368;A
'' MUSICALMENTE INSIEME '';VIA GIOACHINO ROSSINI 3;BAGNOLO SAN VITO;MANTOVA;46031;93053260209;A
- SCUOLA BOTTEGA - MALNATE -;VIA SAN FRANCESCO N 1;MALNATE;VARESE;21046;95039880125;A
- SOCIETA' DI SAN VINCENZO DE' PAOLI -;VIA GIULIO CESARE PROCACCINI 3;VARESE;VARESE;21100;95042780122;A
' UN AIUTO PER LA VITA'- ORGANIZZAZIONE NON LUCRATIVA DI UTILITA'SOCIALE;C/DA CARCARA;SAN PIETRO APOSTOLO;CATANZARO;88040;2295560797;A
A - MICI DI MATISSE;VIA LEONARDO DA VINCI N 89;ALGHERO;SASSARI;7041;92124890903;A
A B C ASSOCIAZIONE BAMBINO CARDIOPATICO;VIA BANDINI 6;PARMA;PARMA;43123;92014640343;A
A BRACCIA APERTE;VIA CORONATA 63 UNI;GENOVA;GENOVA;16152;95103540100;A
A BRACCIA APERTE ONLUS;VIA INGANNI 4;MILANO;MILANO;20147;97416850150;A
A BUON DIRITTO ONLUS;VIA DEI PISONI 57-59;ROMA;ROMA;175;97612350583;A
A CASA;VIA PONTE 11;ZOGNO;BERGAMO;24019;95218780161;A
A CASA DI ANDREA- LOS VARANOS HERMANOS;VIA V BELLO 37;SALERNO;SALERNO;84129;5596180652;A
A CASA DI MASSIMO TROISI;V CAVALLI DI BRONZO 20 VILLA BRUNO;SAN GIORGIO A CREMANO;NAPOLI;80046;95212450639;A
A CASA DI ZOE;VIA BOLOGNA 19/A;PORTO SAN GIORGIO;FERMO;63822;90056040448;A
A CASA LONTANI DA CASA ODV;VIA VENEZIAN 1;MILANO;MILANO;20133;97767630151;A
A. CELI. A ASSOCIAZIONE CELIACI ALTOTEVERE;PIAZZA SERVI DI MARIA N 5;CITTA' DI CASTELLO;PERUGIA;6012;90021630547;A
A COME AMBIENTE;CORSO UMBRIA 90;TORINO;TORINO;10144;8698240010;A
A E C - ASSOCIAZIONE PER LE ATTIVITA' EDUCATIVE E CULTURALI;V MONTE DI PIETA' 1-C/O ST.COMMODO;TORINO;TORINO;10121;97539110011;A
A L M ASSOCIAZIONE LAZIALE MOTULESI - ONLUS;VIALE ALDO BALLARIN 106/108;ROMA;ROMA;142;2876630589;A
A LIGHT FOR HOPE - UNA LUCE DI SPERANZA ONLUS;VIA A G LONGHIN 7;TREVISO;TREVISO;31100;94054440261;A
A MANI LIBERE APS;VIA GALLI 7;FAENZA;RAVENNA;48018;90035200394;A
A MANO A MANO SOCIETA'COOPERATIVA SOCIALE ETS;PIAZZA ZAMARA 27;PALAZZOLO SULL'OGLIO;BRESCIA;25036;4025640980;A
A MODO LORO SOCIETA' COOPERATIVA SOCIALE;VIA VINCENZO LATERZA 1;PUTIGNANO;BARI;70017;7514950729;A
A MODO TUO ONLUS;V C COLOMBO 49 SAN NICOLO A TORDINO;TERAMO;TERAMO;64100;92051720677;A
A. N. V. P.;VIALE ANICIO GALLO NR 56;ROMA;ROMA;174;97828540589;A
A NEW LIFE;STRADA ZANNI 8;PESCARA;PESCARA;65125;91141110683;A
A P S RINNOVAMENTI;VIA IV NOVEMBRE 22/B;PAESE;TREVISO;31038;94121380268;A
AMICI DI MONS. EMILIO PATRIARCA ONLUS;PIAZZA CANONICA N 7;VARESE;VARESE;21100;95042800128;A
.... ANTA CIRCOLO RICREATIVO CULTURALE ODV;VIA ERNESTO PASQUALI 10;MONTICELLI D'ONGINA;PIACENZA;29010;91059150333;A
? APS;VIA PISA 11;TORINO;TORINO;10152;97758890012;A
- ASS.NE BANCO DI SOLIDARIETA' ALIMENTARE NON SOLO PANE -;VIA MONTE SANTO 1;VARESE;VARESE;21100;95043110121;A
 ASSOCIAZIONE CLUB AMICI DELLA TERRA;VIA GASPAROTTO 35;VARESE;VARESE;21100;95038550125;A
- ASSOCIAZIONE FAMIGLIE ADOTTIVE INSIEME PER LA VITA -ONLUS -;VIA G MATTEOTTI N 20;ARCISATE;VARESE;21051;95044550127;A
'' CAV UNO DI NOI- CAGLIARI'';VIA LEONARDO DA VINCI 7;CAGLIARI;CAGLIARI;9128;92223540920;A
- CENTRO DI AIUTO ALLA VITA - ONLUS -;PIAZZA SAN MARTINO N 1;MALNATE;VARESE;21046;95040890121;A
' CENTRO STORICO - ONLUS';VIA BONIFACIO IX;CASARANO;LECCE;73042;3357300759;A
' CLUB AMANTI DELLA MUSICA ' CORPO BANDISTICO DI VOLONTARIATO;VIA MONTEGRAPPA SCN;PORTO SANT'ELPIDIO;FERMO;63821;1303970444;A
- COMITATO S. VERRI PER LO STUDIO E LA CURA DELLA LEUCEMIA -;VIA CHIESA N 61;GAZZADA SCHIANNO;VARESE;21045;95044910123;A
 CULTURA ACCESSIBILE ONLUS;VIA PRINCIPE AMEDEO 12;TORINO;TORINO;10123;97815120015;A
'' DAVIDE: IL SORRISO PER TUTTI'';VIA FLAVIO GIOIA 5;ROSETO DEGLI ABRUZZI;TERAMO;64026;91048980675;A
.... E TERRE NUOVE ODV;VIA MONARI 13/B;REGGIO NELL'EMILIA;REGGIO EMILIA;42122;91170780356;A
- ECO HIMAL -;VIA F CRISPI N 134;VARESE;VARESE;21100;95041120122;A
'' GENITORI DEL SUD '';VIA ROMA II TRAVERSA 129;CIMITILE;NAPOLI;80030;92047800633;A
'' GYNE SAFE-ODV-'';VIA ROBERTO RUFFILLI 23;VILLIMPENTA;MANTOVA;46039;93075790209;A
' IL MONELLO ';VIA TORRE DI MORENA 98;ROMA;ROMA;118;97229780586;A
... INSIEME PER CHIARA ODV;VIA BANFI 33;VERUCCHIO;RIMINI;47826;91177630406;A
'' MANI DI FORBICE '' - ONLUS;PIAZZA MATTEOCCI N 1;RIETI;RIETI;2100;90061200573;A
 MIRANDOLA - LIBERA ASSOCIAZIONE CIVICA APS;VIA DANTE ALIGHIERI 19;MIRANDOLA;MODENA;41037;90045610368;A
'' MUSICALMENTE INSIEME '';VIA GIOACHINO ROSSINI 3;BAGNOLO SAN VITO;MANTOVA;46031;93053260209;A
- SCUOLA BOTTEGA - MALNATE -;VIA SAN FRANCESCO N 1;MALNATE;VARESE;21046;95039880125;A
- SOCIETA' DI SAN VINCENZO DE' PAOLI -;VIA GIULIO CESARE PROCACCINI 3;VARESE;VARESE;21100;95042780122;A
' UN AIUTO PER LA VITA'- ORGANIZZAZIONE NON LUCRATIVA DI UTILITA'SOCIALE;C/DA CARCARA;SAN PIETRO APOSTOLO;CATANZARO;88040;2295560797;A
A - MICI DI MATISSE;VIA LEONARDO DA VINCI N 89;ALGHERO;SASSARI;7041;92124890903;A
A B C ASSOCIAZIONE BAMBINO CARDIOPATICO;VIA BANDINI 6;PARMA;PARMA;43123;92014640343;A
A BRACCIA APERTE;VIA CORONATA 63 UNI;GENOVA;GENOVA;16152;95103540100;A
A BRACCIA APERTE ONLUS;VIA INGANNI 4;MILANO;MILANO;20147;97416850150;A
A BUON DIRITTO ONLUS;VIA DEI PISONI 57-59;ROMA;ROMA;175;97612350583;A
A CASA;VIA PONTE 11;ZOGNO;BERGAMO;24019;95218780161;A
A CASA DI ANDREA- LOS VARANOS HERMANOS;VIA V BELLO 37;SALERNO;SALERNO;84129;5596180652;A
A CASA DI MASSIMO TROISI;V CAVALLI DI BRONZO 20 VILLA BRUNO;SAN GIORGIO A CREMANO;NAPOLI;80046;95212450639;A
A CASA DI ZOE;VIA BOLOGNA 19/A;PORTO SAN GIORGIO;FERMO;63822;90056040448;A
A CASA LONTANI DA CASA ODV;VIA VENEZIAN 1;MILANO;MILANO;20133;97767630151;A
A. CELI. A ASSOCIAZIONE CELIACI ALTOTEVERE;PIAZZA SERVI DI MARIA N 5;CITTA' DI CASTELLO;PERUGIA;6012;90021630547;A
A COME AMBIENTE;CORSO UMBRIA 90;TORINO;TORINO;10144;8698240010;A
A E C - ASSOCIAZIONE PER LE ATTIVITA' EDUCATIVE E CULTURALI;V MONTE DI PIETA' 1-C/O ST.COMMODO;TORINO;TORINO;10121;97539110011;A
A L M ASSOCIAZIONE LAZIALE MOTULESI - ONLUS;VIALE ALDO BALLARIN 106/108;ROMA;ROMA;142;2876630589;A
A LIGHT FOR HOPE - UNA LUCE DI SPERANZA ONLUS;VIA A G LONGHIN 7;TREVISO;TREVISO;31100;94054440261;A
A MANI LIBERE APS;VIA GALLI 7;FAENZA;RAVENNA;48018;90035200394;A
A MANO A MANO SOCIETA'COOPERATIVA SOCIALE ETS;PIAZZA ZAMARA 27;PALAZZOLO SULL'OGLIO;BRESCIA;25036;4025640980;A
A MODO LORO SOCIETA' COOPERATIVA SOCIALE;VIA VINCENZO LATERZA 1;PUTIGNANO;BARI;70017;7514950729;A
A MODO TUO ONLUS;V C COLOMBO 49 SAN NICOLO A TORDINO;TERAMO;TERAMO;64100;92051720677;A
A. N. V. P.;VIALE ANICIO GALLO NR 56;ROMA;ROMA;174;97828540589;A
A NEW LIFE;STRADA ZANNI 8;PESCARA;PESCARA;65125;91141110683;A
A P S RINNOVAMENTI;VIA IV NOVEMBRE 22/B;PAESE;TREVISO;31038;94121380268;A
 AMICI DI MONS. EMILIO PATRIARCA ONLUS;PIAZZA CANONICA N 7;VARESE;VARESE;21100;95042800128;A
.... ANTA CIRCOLO RICREATIVO CULTURALE ODV;VIA ERNESTO PASQUALI 10;MONTICELLI D'ONGINA;PIACENZA;29010;91059150333;A
? APS;VIA PISA 11;TORINO;TORINO;10152;97758890012;A
- ASS.NE BANCO DI SOLIDARIETA' ALIMENTARE NON SOLO PANE -;VIA MONTE SANTO 1;VARESE;VARESE;21100;95043110121;A
 ASSOCIAZIONE CLUB AMICI DELLA TERRA;VIA GASPAROTTO 35;VARESE;VARESE;21100;95038550125;A
- ASSOCIAZIONE FAMIGLIE ADOTTIVE INSIEME PER LA VITA -ONLUS -;VIA G MATTEOTTI N 20;ARCISATE;VARESE;21051;95044550127;A
'' CAV UNO DI NOI- CAGLIARI'';VIA LEONARDO DA VINCI 7;CAGLIARI;CAGLIARI;9128;92223540920;A
- CENTRO DI AIUTO ALLA VITA - ONLUS -;PIAZZA SAN MARTINO N 1;MALNATE;VARESE;21046;95040890121;A
' CENTRO STORICO - ONLUS';VIA BONIFACIO IX;CASARANO;LECCE;73042;3357300759;A
' CLUB AMANTI DELLA MUSICA ' CORPO BANDISTICO DI VOLONTARIATO;VIA MONTEGRAPPA SCN;PORTO SANT'ELPIDIO;FERMO;63821;1303970444;A
- COMITATO S. VERRI PER LO STUDIO E LA CURA DELLA LEUCEMIA -;VIA CHIESA N 61;GAZZADA SCHIANNO;VARESE;21045;95044910123;A
 CULTURA ACCESSIBILE ONLUS;VIA PRINCIPE AMEDEO 12;TORINO;TORINO;10123;97815120015;A
'' DAVIDE: IL SORRISO PER TUTTI'';VIA FLAVIO GIOIA 5;ROSETO DEGLI ABRUZZI;TERAMO;64026;91048980675;A
.... E TERRE NUOVE ODV;VIA MONARI 13/B;REGGIO NELL'EMILIA;REGGIO EMILIA;42122;91170780356;A
- ECO HIMAL -;VIA F CRISPI N 134;VARESE;VARESE;21100;95041120122;A
'' GENITORI DEL SUD '';VIA ROMA II TRAVERSA 129;CIMITILE;NAPOLI;80030;92047800633;A
'' GYNE SAFE-ODV-'';VIA ROBERTO RUFFILLI 23;VILLIMPENTA;MANTOVA;46039;93075790209;A
' IL MONELLO ';VIA TORRE DI MORENA 98;ROMA;ROMA;118;97229780586;A
... INSIEME PER CHIARA ODV;VIA BANFI 33;VERUCCHIO;RIMINI;47826;91177630406;A
'' MANI DI FORBICE '' - ONLUS;PIAZZA MATTEOCCI N 1;RIETI;RIETI;2100;90061200573;A
 MIRANDOLA - LIBERA ASSOCIAZIONE CIVICA APS;VIA DANTE ALIGHIERI 19;MIRANDOLA;MODENA;41037;90045610368;A
'' MUSICALMENTE INSIEME '';VIA GIOACHINO ROSSINI 3;BAGNOLO SAN VITO;MANTOVA;46031;93053260209;A
- SCUOLA BOTTEGA - MALNATE -;VIA SAN FRANCESCO N 1;MALNATE;VARESE;21046;95039880125;A
- SOCIETA' DI SAN VINCENZO DE' PAOLI -;VIA GIULIO CESARE PROCACCINI 3;VARESE;VARESE;21100;95042780122;A
' UN AIUTO PER LA VITA'- ORGANIZZAZIONE NON LUCRATIVA DI UTILITA'SOCIALE;C/DA CARCARA;SAN PIETRO APOSTOLO;CATANZARO;88040;2295560797;A
A - MICI DI MATISSE;VIA LEONARDO DA VINCI N 89;ALGHERO;SASSARI;7041;92124890903;A
A B C ASSOCIAZIONE BAMBINO CARDIOPATICO;VIA BANDINI 6;PARMA;PARMA;43123;92014640343;A
A BRACCIA APERTE;VIA CORONATA 63 UNI;GENOVA;GENOVA;16152;95103540100;A
A BRACCIA APERTE ONLUS;VIA INGANNI 4;MILANO;MILANO;20147;97416850150;A
A BUON DIRITTO ONLUS;VIA DEI PISONI 57-59;ROMA;ROMA;175;97612350583;A
A CASA;VIA PONTE 11;ZOGNO;BERGAMO;24019;95218780161;A
A CASA DI ANDREA- LOS VARANOS HERMANOS;VIA V BELLO 37;SALERNO;SALERNO;84129;5596180652;A
A CASA DI MASSIMO TROISI;V CAVALLI DI BRONZO 20 VILLA BRUNO;SAN GIORGIO A CREMANO;NAPOLI;80046;95212450639;A
A CASA DI ZOE;VIA BOLOGNA 19/A;PORTO SAN GIORGIO;FERMO;63822;90056040448;A
A CASA LONTANI DA CASA ODV;VIA VENEZIAN 1;MILANO;MILANO;20133;97767630151;A
A. CELI. A ASSOCIAZIONE CELIACI ALTOTEVERE;PIAZZA SERVI DI MARIA N 5;CITTA' DI CASTELLO;PERUGIA;6012;90021630547;A
A COME AMBIENTE;CORSO UMBRIA 90;TORINO;TORINO;10144;8698240010;A
A E C - ASSOCIAZIONE PER LE ATTIVITA' EDUCATIVE E CULTURALI;V MONTE DI PIETA' 1-C/O ST.COMMODO;TORINO;TORINO;10121;97539110011;A
A L M ASSOCIAZIONE LAZIALE MOTULESI - ONLUS;VIALE ALDO BALLARIN 106/108;ROMA;ROMA;142;2876630589;A
A LIGHT FOR HOPE - UNA LUCE DI SPERANZA ONLUS;VIA A G LONGHIN 7;TREVISO;TREVISO;31100;94054440261;A
A MANI LIBERE APS;VIA GALLI 7;FAENZA;RAVENNA;48018;90035200394;A
A MANO A MANO SOCIETA'COOPERATIVA SOCIALE ETS;PIAZZA ZAMARA 27;PALAZZOLO SULL'OGLIO;BRESCIA;25036;4025640980;A
A MODO LORO SOCIETA' COOPERATIVA SOCIALE;VIA VINCENZO LATERZA 1;PUTIGNANO;BARI;70017;7514950729;A
A MODO TUO ONLUS;V C COLOMBO 49 SAN NICOLO A TORDINO;TERAMO;TERAMO;64100;92051720677;A
A. N. V. P.;VIALE ANICIO GALLO NR 56;ROMA;ROMA;174;97828540589;A
A NEW LIFE;STRADA ZANNI 8;PESCARA;PESCARA;65125;91141110683;A
A P S RINNOVAMENTI;VIA IV NOVEMBRE 22/B;PAESE;TREVISO;31038;94121380268;A
 AMICI DI MONS. EMILIO PATRIARCA ONLUS;PIAZZA CANONICA N 7;VARESE;VARESE;21100;95042800128;A
.... ANTA CIRCOLO RICREATIVO CULTURALE ODV;VIA ERNESTO PASQUALI 10;MONTICELLI D'ONGINA;PIACENZA;29010;91059150333;A
? APS;VIA PISA 11;TORINO;TORINO;10152;97758890012;A
- ASS.NE BANCO DI SOLIDARIETA' ALIMENTARE NON SOLO PANE -;VIA MONTE SANTO 1;VARESE;VARESE;21100;95043110121;A
 ASSOCIAZIONE CLUB AMICI DELLA TERRA;VIA GASPAROTTO 35;VARESE;VARESE;21100;95038550125;A
- ASSOCIAZIONE FAMIGLIE ADOTTIVE INSIEME PER LA VITA -ONLUS -;VIA G MATTEOTTI N 20;ARCISATE;VARESE;21051;95044550127;A
'' CAV UNO DI NOI- CAGLIARI'';VIA LEONARDO DA VINCI 7;CAGLIARI;CAGLIARI;9128;92223540920;A
- CENTRO DI AIUTO ALLA VITA - ONLUS -;PIAZZA SAN MARTINO N 1;MALNATE;VARESE;21046;95040890121;A
' CENTRO STORICO - ONLUS';VIA BONIFACIO IX;CASARANO;LECCE;73042;3357300759;A
' CLUB AMANTI DELLA MUSICA ' CORPO BANDISTICO DI VOLONTARIATO;VIA MONTEGRAPPA SCN;PORTO SANT'ELPIDIO;FERMO;63821;1303970444;A
- COMITATO S. VERRI PER LO STUDIO E LA CURA DELLA LEUCEMIA -;VIA CHIESA N 61;GAZZADA SCHIANNO;VARESE;21045;95044910123;A
 CULTURA ACCESSIBILE ONLUS;VIA PRINCIPE AMEDEO 12;TORINO;TORINO;10123;97815120015;A
'' DAVIDE: IL SORRISO PER TUTTI'';VIA FLAVIO GIOIA 5;ROSETO DEGLI ABRUZZI;TERAMO;64026;91048980675;A
.... E TERRE NUOVE ODV;VIA MONARI 13/B;REGGIO NELL'EMILIA;REGGIO EMILIA;42122;91170780356;A
- ECO HIMAL -;VIA F CRISPI N 134;VARESE;VARESE;21100;95041120122;A
'' GENITORI DEL SUD '';VIA ROMA II TRAVERSA 129;CIMITILE;NAPOLI;80030;92047800633;A
'' GYNE SAFE-ODV-'';VIA ROBERTO RUFFILLI 23;VILLIMPENTA;MANTOVA;46039;93075790209;A
' IL MONELLO ';VIA TORRE DI MORENA 98;ROMA;ROMA;118;97229780586;A
... INSIEME PER CHIARA ODV;VIA BANFI 33;VERUCCHIO;RIMINI;47826;91177630406;A
'' MANI DI FORBICE '' - ONLUS;PIAZZA MATTEOCCI N 1;RIETI;RIETI;2100;90061200573;A
 MIRANDOLA - LIBERA ASSOCIAZIONE CIVICA APS;VIA DANTE ALIGHIERI 19;MIRANDOLA;MODENA;41037;90045610368;A
'' MUSICALMENTE INSIEME '';VIA GIOACHINO ROSSINI 3;BAGNOLO SAN VITO;MANTOVA;46031;93053260209;A
- SCUOLA BOTTEGA - MALNATE -;VIA SAN FRANCESCO N 1;MALNATE;VARESE;21046;95039880125;A
- SOCIETA' DI SAN VINCENZO DE' PAOLI -;VIA GIULIO CESARE PROCACCINI 3;VARESE;VARESE;21100;95042780122;A
' UN AIUTO PER LA VITA'- ORGANIZZAZIONE NON LUCRATIVA DI UTILITA'SOCIALE;C/DA CARCARA;SAN PIETRO APOSTOLO;CATANZARO;88040;2295560797;A
A - MICI DI MATISSE;VIA LEONARDO DA VINCI N 89;ALGHERO;SASSARI;7041;92124890903;A
A B C ASSOCIAZIONE BAMBINO CARDIOPATICO;VIA BANDINI 6;PARMA;PARMA;43123;92014640343;A
A BRACCIA APERTE;VIA CORONATA 63 UNI;GENOVA;GENOVA;16152;95103540100;A
A BRACCIA APERTE ONLUS;VIA INGANNI 4;MILANO;MILANO;20147;97416850150;A
A BUON DIRITTO ONLUS;VIA DEI PISONI 57-59;ROMA;ROMA;175;97612350583;A
A CASA;VIA PONTE 11;ZOGNO;BERGAMO;24019;95218780161;A
A CASA DI ANDREA- LOS VARANOS HERMANOS;VIA V BELLO 37;SALERNO;SALERNO;84129;5596180652;A
A CASA DI MASSIMO TROISI;V CAVALLI DI BRONZO 20 VILLA BRUNO;SAN GIORGIO A CREMANO;NAPOLI;80046;95212450639;A
A CASA DI ZOE;VIA BOLOGNA 19/A;PORTO SAN GIORGIO;FERMO;63822;90056040448;A
A CASA LONTANI DA CASA ODV;VIA VENEZIAN 1;MILANO;MILANO;20133;97767630151;A
A. CELI. A ASSOCIAZIONE CELIACI ALTOTEVERE;PIAZZA SERVI DI MARIA N 5;CITTA' DI CASTELLO;PERUGIA;6012;90021630547;A
A COME AMBIENTE;CORSO UMBRIA 90;TORINO;TORINO;10144;8698240010;A
A E C - ASSOCIAZIONE PER LE ATTIVITA' EDUCATIVE E CULTURALI;V MONTE DI PIETA' 1-C/O ST.COMMODO;TORINO;TORINO;10121;97539110011;A
A L M ASSOCIAZIONE LAZIALE MOTULESI - ONLUS;VIALE ALDO BALLARIN 106/108;ROMA;ROMA;142;2876630589;A
A LIGHT FOR HOPE - UNA LUCE DI SPERANZA ONLUS;VIA A G LONGHIN 7;TREVISO;TREVISO;31100;94054440261;A
A MANI LIBERE APS;VIA GALLI 7;FAENZA;RAVENNA;48018;90035200394;A
A MANO A MANO SOCIETA'COOPERATIVA SOCIALE ETS;PIAZZA ZAMARA 27;PALAZZOLO SULL'OGLIO;BRESCIA;25036;4025640980;A
A MODO LORO SOCIETA' COOPERATIVA SOCIALE;VIA VINCENZO LATERZA 1;PUTIGNANO;BARI;70017;7514950729;A
A MODO TUO ONLUS;V C COLOMBO 49 SAN NICOLO A TORDINO;TERAMO;TERAMO;64100;92051720677;A
A. N. V. P.;VIALE ANICIO GALLO NR 56;ROMA;ROMA;174;97828540589;A
A NEW LIFE;STRADA ZANNI 8;PESCARA;PESCARA;65125;91141110683;A
A P S RINNOVAMENTI;VIA IV NOVEMBRE 22/B;PAESE;TREVISO;31038;94121380268;A
 AMICI DI MONS. EMILIO PATRIARCA ONLUS;PIAZZA CANONICA N 7;VARESE;VARESE;21100;95042800128;A
.... ANTA CIRCOLO RICREATIVO CULTURALE ODV;VIA ERNESTO PASQUALI 10;MONTICELLI D'ONGINA;PIACENZA;29010;91059150333;A
? APS;VIA PISA 11;TORINO;TORINO;10152;97758890012;A
- ASS.NE BANCO DI SOLIDARIETA' ALIMENTARE NON SOLO PANE -;VIA MONTE SANTO 1;VARESE;VARESE;21100;95043110121;A
 ASSOCIAZIONE CLUB AMICI DELLA TERRA;VIA GASPAROTTO 35;VARESE;VARESE;21100;95038550125;A
- ASSOCIAZIONE FAMIGLIE ADOTTIVE INSIEME PER LA VITA -ONLUS -;VIA G MATTEOTTI N 20;ARCISATE;VARESE;21051;95044550127;A
'' CAV UNO DI NOI- CAGLIARI'';VIA LEONARDO DA VINCI 7;CAGLIARI;CAGLIARI;9128;92223540920;A
- CENTRO DI AIUTO ALLA VITA - ONLUS -;PIAZZA SAN MARTINO N 1;MALNATE;VARESE;21046;95040890121;A
' CENTRO STORICO - ONLUS';VIA BONIFACIO IX;CASARANO;LECCE;73042;3357300759;A
' CLUB AMANTI DELLA MUSICA ' CORPO BANDISTICO DI VOLONTARIATO;VIA MONTEGRAPPA SCN;PORTO SANT'ELPIDIO;FERMO;63821;1303970444;A
- COMITATO S. VERRI PER LO STUDIO E LA CURA DELLA LEUCEMIA -;VIA CHIESA N 61;GAZZADA SCHIANNO;VARESE;21045;95044910123;A
 CULTURA ACCESSIBILE ONLUS;VIA PRINCIPE AMEDEO 12;TORINO;TORINO;10123;97815120015;A
'' DAVIDE: IL SORRISO PER TUTTI'';VIA FLAVIO GIOIA 5;ROSETO DEGLI ABRUZZI;TERAMO;64026;91048980675;A
.... E TERRE NUOVE ODV;VIA MONARI 13/B;REGGIO NELL'EMILIA;REGGIO EMILIA;42122;91170780356;A
- ECO HIMAL -;VIA F CRISPI N 134;VARESE;VARESE;21100;95041120122;A
'' GENITORI DEL SUD '';VIA ROMA II TRAVERSA 129;CIMITILE;NAPOLI;80030;92047800633;A
'' GYNE SAFE-ODV-'';VIA ROBERTO RUFFILLI 23;VILLIMPENTA;MANTOVA;46039;93075790209;A
' IL MONELLO ';VIA TORRE DI MORENA 98;ROMA;ROMA;118;97229780586;A
... INSIEME PER CHIARA ODV;VIA BANFI 33;VERUCCHIO;RIMINI;47826;91177630406;A
'' MANI DI FORBICE '' - ONLUS;PIAZZA MATTEOCCI N 1;RIETI;RIETI;2100;90061200573;A
 MIRANDOLA - LIBERA ASSOCIAZIONE CIVICA APS;VIA DANTE ALIGHIERI 19;MIRANDOLA;MODENA;41037;90045610368;A
'' MUSICALMENTE INSIEME '';VIA GIOACHINO ROSSINI 3;BAGNOLO SAN VITO;MANTOVA;46031;93053260209;A
- SCUOLA BOTTEGA - MALNATE -;VIA SAN FRANCESCO N 1;MALNATE;VARESE;21046;95039880125;A
- SOCIETA' DI SAN VINCENZO DE' PAOLI -;VIA GIULIO CESARE PROCACCINI 3;VARESE;VARESE;21100;95042780122;A
' UN AIUTO PER LA VITA'- ORGANIZZAZIONE NON LUCRATIVA DI UTILITA'SOCIALE;C/DA CARCARA;SAN PIETRO APOSTOLO;CATANZARO;88040;2295560797;A
A - MICI DI MATISSE;VIA LEONARDO DA VINCI N 89;ALGHERO;SASSARI;7041;92124890903;A
A B C ASSOCIAZIONE BAMBINO CARDIOPATICO;VIA BANDINI 6;PARMA;PARMA;43123;92014640343;A
A BRACCIA APERTE;VIA CORONATA 63 UNI;GENOVA;GENOVA;16152;95103540100;A
A BRACCIA APERTE ONLUS;VIA INGANNI 4;MILANO;MILANO;20147;97416850150;A
A BUON DIRITTO ONLUS;VIA DEI PISONI 57-59;ROMA;ROMA;175;97612350583;A
A CASA;VIA PONTE 11;ZOGNO;BERGAMO;24019;95218780161;A
A CASA DI ANDREA- LOS VARANOS HERMANOS;VIA V BELLO 37;SALERNO;SALERNO;84129;5596180652;A
A CASA DI MASSIMO TROISI;V CAVALLI DI BRONZO 20 VILLA BRUNO;SAN GIORGIO A CREMANO;NAPOLI;80046;95212450639;A
A CASA DI ZOE;VIA BOLOGNA 19/A;PORTO SAN GIORGIO;FERMO;63822;90056040448;A
A CASA LONTANI DA CASA ODV;VIA VENEZIAN 1;MILANO;MILANO;20133;97767630151;A
A. CELI. A ASSOCIAZIONE CELIACI ALTOTEVERE;PIAZZA SERVI DI MARIA N 5;CITTA' DI CASTELLO;PERUGIA;6012;90021630547;A
A COME AMBIENTE;CORSO UMBRIA 90;TORINO;TORINO;10144;8698240010;A
A E C - ASSOCIAZIONE PER LE ATTIVITA' EDUCATIVE E CULTURALI;V MONTE DI PIETA' 1-C/O ST.COMMODO;TORINO;TORINO;10121;97539110011;A
A L M ASSOCIAZIONE LAZIALE MOTULESI - ONLUS;VIALE ALDO BALLARIN 106/108;ROMA;ROMA;142;2876630589;A
A LIGHT FOR HOPE - UNA LUCE DI SPERANZA ONLUS;VIA A G LONGHIN 7;TREVISO;TREVISO;31100;94054440261;A
A MANI LIBERE APS;VIA GALLI 7;FAENZA;RAVENNA;48018;90035200394;A
A MANO A MANO SOCIETA'COOPERATIVA SOCIALE ETS;PIAZZA ZAMARA 27;PALAZZOLO SULL'OGLIO;BRESCIA;25036;4025640980;A
A MODO LORO SOCIETA' COOPERATIVA SOCIALE;VIA VINCENZO LATERZA 1;PUTIGNANO;BARI;70017;7514950729;A
A MODO TUO ONLUS;V C COLOMBO 49 SAN NICOLO A TORDINO;TERAMO;TERAMO;64100;92051720677;A
A. N. V. P.;VIALE ANICIO GALLO NR 56;ROMA;ROMA;174;97828540589;A
A NEW LIFE;STRADA ZANNI 8;PESCARA;PESCARA;65125;91141110683;A
A P S RINNOVAMENTI;VIA IV NOVEMBRE 22/B;PAESE;TREVISO;31038;94121380268;A
 AMICI DI MONS. EMILIO PATRIARCA ONLUS;PIAZZA CANONICA N 7;VARESE;VARESE;21100;95042800128;A
.... ANTA CIRCOLO RICREATIVO CULTURALE ODV;VIA ERNESTO PASQUALI 10;MONTICELLI D'ONGINA;PIACENZA;29010;91059150333;A
? APS;VIA PISA 11;TORINO;TORINO;10152;97758890012;A
- ASS.NE BANCO DI SOLIDARIETA' ALIMENTARE NON SOLO PANE -;VIA MONTE SANTO 1;VARESE;VARESE;21100;95043110121;A
 ASSOCIAZIONE CLUB AMICI DELLA TERRA;VIA GASPAROTTO 35;VARESE;VARESE;21100;95038550125;A
